Time,3 Planets (Aligned Omega),4 Planets (Aligned Omega),5 Planets (Aligned Omega),7 Planets (Aligned Omega),8 Planets (Aligned Omega),3 Planets (Random Omega),4 Planets (Random Omega),5 Planets (Random Omega),7 Planets (Random Omega),8 Planets (Random Omega),
691469.1469146915,20.48656113134019,23.06422928778276,45.79191210759456,12.382397353136792,0.608702073287192,nan,20.8676975668282,36.29824941660166,12.389159379504825,0.6086812711584701,
691569.1569156917,19.522285738373437,23.00420970429125,43.73700318716148,12.382860721899357,0.6087070539131783,nan,20.867394057452614,36.300523346288145,12.389190168537361,0.6086873224748635,
691669.1669166917,19.65578159250403,22.93649586924786,43.827632152500605,12.382464654741083,0.6087180416717237,19.50244262455928,20.86766913221156,36.30034427459909,12.388922106142559,0.6086956065601792,
691769.1769176918,19.49454769994516,22.998644244924268,43.74655090825276,12.38250853057634,0.6087291045453834,19.500533029040295,20.86622526646456,36.301996787415575,12.389260455808802,0.6086920380286418,
691869.186918692,20.478327963969374,21.98296477027758,43.88611509486563,12.38302901874773,0.6087297097562308,19.500294889500488,20.865154331874006,36.29981318298688,12.389494979641492,0.6087004611044343,
691969.196919692,20.472451301960582,22.928605369903213,43.80530121944043,12.38249756939731,0.6087368774368991,19.498002275463584,20.86536567368695,36.29850762965946,12.38955724814768,0.6087082166979185,
692069.2069206921,20.468484879358957,22.92733074160557,43.77194657777773,12.382759807594912,0.6087594395160124,19.49431570159782,20.867379060247586,36.298272591835826,12.389508115233387,0.6086985349108839,
692169.2169216921,20.46551015183304,22.92256980283696,43.74154271592817,12.383262012821929,0.6087568140810382,19.49373673602273,20.86609113509302,36.29715433631254,12.389180494553475,0.6087016160502327,
692269.2269226923,20.46310359280794,22.921393085488624,43.848183829769994,12.382719957526737,0.6087697849540967,19.491428469652078,20.867870533530834,36.300867069177414,12.389051892871665,0.6086962407366527,
692369.2369236924,20.461553024418844,22.967533576470085,43.85009065472368,12.38294347810262,0.6087772604877933,19.48950976513503,20.86752646434837,nan,12.389155428612534,0.6086976253773371,
692469.2469246925,21.468938501947992,23.023864664361522,43.74279773216008,12.383290140488336,0.608780703932265,19.490326903092594,20.86806522792359,nan,nan,0.6086875471515485,
692569.2569256927,21.467069092123506,22.907738864498956,43.87291612959944,12.383126155217996,0.608779545907751,19.488624090780537,20.867168789911975,nan,12.388505000566564,0.6086853221713981,
692669.2669266928,21.465932908219592,21.962835225619873,43.75771431900642,12.383173877592588,0.6087867191764872,19.487747068218198,20.868980545368842,36.29759470799976,nan,0.6086809023052973,
692769.2769276928,21.466436159403713,22.960879155589094,43.74102959112609,12.383428507823288,0.6087863891425784,19.489696575507118,20.87204173857461,36.300855440139244,nan,0.6086753246598003,
692869.2869286928,20.46007622131137,22.954659187374872,45.78416999899885,12.38328084368314,0.6087819894919444,19.488338925676153,20.87250448249665,36.29962934180024,12.388027304562733,0.6086673363413604,
692969.296929693,20.460560320055198,23.008650562226958,43.747771606324534,12.383049737218313,0.6087740235832901,19.487100955892885,nan,36.30011688758614,12.38817979209333,0.6086654463269161,
693069.3069306931,19.455758119254202,22.898144686115725,43.85771640796426,12.383276344832135,0.6087624363933051,19.489169646475993,nan,36.297158124015546,nan,0.6086638748133139,
693169.3169316932,19.46098432194529,23.00282825621519,43.88339264625344,12.383225340302795,0.6087560499983395,19.48822314529375,nan,36.29872557900485,nan,0.6086636555695104,
693269.3269326932,19.464756653914552,21.943517202889748,43.84314947484366,12.383193799035208,0.60874489381744,19.487452171096972,nan,36.30016943738892,nan,0.6086638195449159,
693369.3369336934,19.46915742823552,22.89501802355738,nan,12.383282068733962,0.6087370118307016,19.48890031983461,nan,36.2998710962732,nan,0.6086624472111956,
693469.3469346935,19.47792966524569,22.942746090482295,43.75718839252022,12.38271410311875,0.6087292242199878,19.48676662690595,nan,36.30139886612751,nan,0.6086682196805772,
693569.3569356936,19.497193313725216,21.943723192073467,43.7295902652752,12.382724355390078,0.6087272473041055,19.489572989916827,nan,36.2997416566753,12.387578588681368,0.608665935220308,
693669.3669366938,19.530595146117726,22.995626516027006,45.740464848268125,12.382974062153133,0.608721084636193,19.490986957990412,20.898158102162792,36.300403815063234,12.388284816509117,0.6086718026776178,
693769.3769376937,19.537618090479352,21.94141822991152,43.67242916871905,12.3825500516446,0.6087185427912529,19.489854042973974,20.901640284051325,36.30031223459881,12.38893848053649,0.6086658013537676,
693869.3869386938,19.496590159442324,22.894660925574442,43.66617109938759,12.38247260037609,0.6087309195610388,19.4925462016917,20.904327555394143,36.3000218915614,12.388249463044419,0.6086757596495311,
693969.396939694,19.480532348420216,21.79225186260675,43.777927827052366,12.382846820027693,0.6087326116601743,19.4930744943782,nan,36.29819375152606,nan,0.6086763669905477,
694069.4069406941,20.471429091504163,22.894841429681033,43.83277809513632,12.382491835208398,0.6087351848629027,19.492854957026594,20.91126331145385,36.29840979556997,nan,0.6086746855245582,
694169.4169416942,20.467761221241144,22.89952461322734,43.711199164041474,12.382294744060724,0.608749106920981,19.495601904308433,20.91333781359263,36.30081755648692,nan,0.6086779380979164,
694269.4269426944,21.47179464285479,21.948009871492637,43.673903153855626,12.382963775682692,0.6087663344332842,19.49617049372152,20.917526721122638,36.30061670712555,nan,0.6086786716538068,
694369.4369436944,21.471255000013606,22.8986712570044,43.78285507282728,12.382874651621481,0.6087787266880071,19.497222822373132,20.92394392878659,36.30046896134323,nan,0.6086776316984014,
694469.4469446945,21.472559561580443,21.948261771305223,43.702480737327676,12.382597367559509,0.6087840962450812,19.500130398375962,20.9303553152496,36.29799514230336,nan,0.6086758717771188,
694569.4569456946,21.470852342066866,23.002201530830924,43.74795193933291,12.382875165892257,0.6088013841399798,19.49946191534723,20.933644064952343,36.29933916018927,12.389065324614835,0.6086719077669535,
694669.4669466948,20.462038420212618,24.854347042340077,43.70229390993888,12.38296408883852,0.6088098398737014,nan,20.93849085215425,36.3009053435757,12.388389031586513,0.608670276151335,
